Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.710000,24.340000,180.000000,bottom
C2,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,99.910000,23.040000,270.000000,bottom
C3,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.710000,26.940000,90.000000,bottom
C4,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,68.110000,23.140000,270.000000,bottom
C6,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,30.710000,27.840000,180.000000,bottom
C7,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,46.610000,28.040000,180.000000,bottom
R1,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,36.210000,28.040000,180.000000,bottom
R2,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,41.510000,28.040000,0.000000,bottom
R3,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.410000,21.640000,180.000000,bottom
R4,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13.110000,21.640000,0.000000,bottom
R5,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.410000,19.040000,0.000000,bottom
R9,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.510000,23.140000,0.000000,bottom
R10,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.510000,18.540000,0.000000,bottom
R11,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.810000,22.040000,180.000000,bottom
R12,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.810000,18.540000,180.000000,bottom
R13,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.610000,21.940000,0.000000,bottom
R14,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.610000,18.540000,0.000000,bottom
R15,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.710000,25.440000,180.000000,bottom
R16,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.710000,20.840000,180.000000,bottom
R17,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.220000,11.760000,0.000000,bottom
R18,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.590000,1.560000,0.000000,bottom
R19,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.590000,3.650000,0.000000,bottom
U1,MCP4921-E,SOIC-8_3.9x4.9mm_P1.27mm,16.591380,26.056620,270.000000,bottom
U2,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,30.700000,22.040000,90.000000,bottom
U3,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,107.285000,23.140000,0.000000,bottom
U4,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,75.605000,23.140000,0.000000,bottom
U6,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,46.540000,22.040000,90.000000,bottom
